0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEMOM&BABY,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEMOM&BABY,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEMOM&BABY,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEGIRLS,moda,M1,23777,0,0,0,397,0,23380,-23380,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEGIRLS,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEGIRLS,moda,M2,6336,567,0,0,0,0,6904,-6904,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEGIRLS,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEUOMO,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEUOMO,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEUOMO,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOEUOMO,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOE,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOE,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOE,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,ESCOLARES,CLOE,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,moda,M1,17346,0,0,0,30,0,17315,-17315,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,basico,M1,0,0,0,0,42,0,-42,42,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,moda,M2,1967,360,0,0,0,0,2328,-2328,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOELEATHER,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOELEATHER,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOELEATHER,moda,M2,6,34,0,0,0,0,40,-40,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOELEATHER,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOESPORT,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOESPORT,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOESPORT,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOESPORT,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,LUCENTZZA,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,LUCENTZZA,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,LUCENTZZA,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,LUCENTZZA,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEMOM&BABY,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEMOM&BABY,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEMOM&BABY,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEMOM&BABY,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEGIRLS,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEGIRLS,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEGIRLS,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEGIRLS,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEUOMO,moda,M1,22989,8032,0,0,90,0,30930,-30930,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEUOMO,basico,M1,0,0,0,0,125,0,-125,125,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEUOMO,moda,M2,1447,90,0,0,0,0,1538,-1538,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOEUOMO,basico,M2,0,0,0,0,28,0,-28,28,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOE,moda,M1,50574,9079,83,0,5493,0,54244,-54244,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOE,basico,M1,41181,110,98,0,7586,0,33804,-33804,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOE,moda,M2,29677,8696,0,0,0,0,38373,-38373,0
0,30,2020-12-01,0,510,2020-12-01,EQUIPAJE,CLOE,basico,M2,3016,76,0,0,21,0,3072,-3072,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,M1,0,0,0,0,64,0,-64,64,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,M1,0,0,0,0,5,0,-5,5,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,M2,3435,5565,0,0,0,0,9001,-9001,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,M2,0,0,0,0,59,0,-59,59,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOELEATHER,moda,M1,36,0,0,0,79,0,-42,42,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOELEATHER,basico,M1,0,0,0,0,6,0,-6,6,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOELEATHER,moda,M2,189,766,0,0,0,0,956,-956,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOELEATHER,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOESPORT,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOESPORT,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOESPORT,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOESPORT,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,LUCENTZZA,moda,M1,10482,0,0,0,0,0,10482,-10482,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,LUCENTZZA,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,LUCENTZZA,moda,M2,1,0,0,0,0,0,2,-2,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,LUCENTZZA,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEMOM&BABY,moda,M1,6408,608,0,0,484,0,6532,-6532,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEMOM&BABY,basico,M1,0,0,0,0,25,0,-25,25,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEMOM&BABY,moda,M2,10065,542,0,0,0,0,10607,-10607,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEMOM&BABY,basico,M2,0,0,0,0,170,0,-170,170,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEGIRLS,moda,M1,6004,704,0,0,876,0,5832,-5832,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEGIRLS,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEGIRLS,moda,M2,1072,598,0,0,0,0,1671,-1671,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEGIRLS,basico,M2,0,0,0,0,5,0,-5,5,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEUOMO,moda,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEUOMO,basico,M1,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEUOMO,moda,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOEUOMO,basico,M2,0,0,0,0,0,0,0,0,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOE,moda,M1,115560,28954,60,0,15395,0,129179,-129179,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOE,basico,M1,33,0,0,0,1338,0,-1305,1305,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOE,moda,M2,37374,36016,12,0,0,0,73403,-73403,0
0,30,2020-12-01,0,510,2020-12-01,BOLSO,CLOE,basico,M2,0,0,0,0,1323,0,-1323,1323,0
