DATE,UNE,SUBMARCA,DEVOLUCIONESOTB
2020-11-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,0.0
2020-11-01,EQUIPAJE,CLOESEXTOSENTIDO,0.0
2020-11-01,EQUIPAJE,CLOEUOMO,0.0
2020-11-01,EQUIPAJE,LUCENTZZA,0.0
2020-11-01,EQUIPAJE,X,0.0
2020-11-01,EQUIPAJE,Y,0.0
2020-11-01,ESCOLARES,CLOE,0.0
2020-11-01,ESCOLARES,CLOELEATHER,0.0
2020-11-01,ESCOLARES,CLOEMOM&BABY,0.0
2020-11-01,ESCOLARES,CLOEGIRLS,0.0
